date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:41	21603/21603	---M-Z	200	added ('OK')	text/html	etag:%221c0749117a24dca6c57da9aadb59f7bb-ssl-df%22	https://appstack.bootlab.io/	C:/My%20Web%20Sites/Final%20Project/Full%20package/appstack.bootlab.io/index.html	(from )
10:45:41	1449/1449	---MCZ	404	error ('Not%20Found')	text/html	etag:1562762081-ssl-df	https://appstack.bootlab.io/robots.txt		(from )
10:45:42	21603/21603	---MCZ	200	added ('OK')	text/html	etag:%221c0749117a24dca6c57da9aadb59f7bb-ssl-df%22	https://appstack.bootlab.io/index.html	C:/My%20Web%20Sites/Final%20Project/Full%20package/appstack.bootlab.io/index-2.html	(from https://appstack.bootlab.io/)
10:45:43	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2239e53393f7e8def0ddecde17594db0ce-ssl%22	https://appstack.bootlab.io/img/favicon.ico	C:/My%20Web%20Sites/Final%20Project/Full%20package/appstack.bootlab.io/img/favicon.ico	(from https://appstack.bootlab.io/)
10:45:43	611/611	---MC-	200	added ('OK')	text/css	date:Sun,%2016%20Jan%202022%2009:45:48%20GMT	https://fonts.googleapis.com/css2?family=Poppins:wght@300;400;500&display=swap	C:/My%20Web%20Sites/Final%20Project/Full%20package/fonts.googleapis.com/css28c55.css	(from https://appstack.bootlab.io/)
10:45:45	19/19	---M--	404	error ('Not%20Found')	text/plain	date:Sun,%2016%20Jan%202022%2009:45:50%20GMT	https://static.hotjar.com/c/hotjar-	C:/My%20Web%20Sites/Final%20Project/Full%20package/static.hotjar.com/c/hotjar-.4.delayed	(from https://appstack.bootlab.io/)
10:45:45	503836/503836	---MCZ	200	added ('OK')	text/css	etag:%228f5d24c397e975d88aaa73c10459eabb-ssl-df%22	https://appstack.bootlab.io/css/light.css	C:/My%20Web%20Sites/Final%20Project/Full%20package/appstack.bootlab.io/css/light.css	(from https://appstack.bootlab.io/)
10:45:46	169164/169164	---MC-	200	added ('OK')	application/javascript	date:Sun,%2016%20Jan%202022%2009:45:51%20GMT	https://www.googletagmanager.com/gtag/js?id=G-Q3ZYEKLQ68	C:/My%20Web%20Sites/Final%20Project/Full%20package/www.googletagmanager.com/gtag/jsa2d5	(from https://appstack.bootlab.io/)
10:45:46	47378/47378	---M-Z	200	added ('OK')	text/html	etag:%22927961b83f634cde459587de15e74309-ssl-df%22	https://appstack.bootlab.io/dashboard-default.html	C:/My%20Web%20Sites/Final%20Project/Full%20package/appstack.bootlab.io/dashboard-default.html	(from https://appstack.bootlab.io/)
10:45:47	30499/30499	---MCZ	200	added ('OK')	text/html	etag:%22c6d03f7722305f4e58ba134ca3fdad29-ssl-df%22	https://appstack.bootlab.io/docs-introduction.html	C:/My%20Web%20Sites/Final%20Project/Full%20package/appstack.bootlab.io/docs-introduction.html	(from https://appstack.bootlab.io/)
10:45:55	206793/206793	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jan%202022%2009:45:59%20GMT	https://themes.getbootstrap.com/product/appstack-responsive-admin-template/	C:/My%20Web%20Sites/Final%20Project/Full%20package/themes.getbootstrap.com/product/appstack-responsive-admin-template/index.html	(from https://appstack.bootlab.io/)
10:45:55	47378/47378	---M-Z	200	added ('OK')	text/html	etag:%22927961b83f634cde459587de15e74309-ssl-df%22	https://appstack.bootlab.io/dashboard-default.html?theme=default	C:/My%20Web%20Sites/Final%20Project/Full%20package/appstack.bootlab.io/dashboard-defaultd976.html	(from https://appstack.bootlab.io/)
10:45:55	72049/72049	---M--	200	added ('OK')	image/jpeg	etag:%22bb53e0437fcb606c7d75196b4895692d-ssl%22	https://appstack.bootlab.io/img/screenshots/mixed.jpg	C:/My%20Web%20Sites/Final%20Project/Full%20package/appstack.bootlab.io/img/screenshots/mixed.jpg	(from https://appstack.bootlab.io/)
10:45:56	73390/73390	---M--	200	added ('OK')	image/jpeg	etag:%2202a3b71a74f420af2c91bfe59d3c492e-ssl%22	https://appstack.bootlab.io/img/screenshots/theme-default.jpg	C:/My%20Web%20Sites/Final%20Project/Full%20package/appstack.bootlab.io/img/screenshots/theme-default.jpg	(from https://appstack.bootlab.io/)
10:45:57	47378/47378	---M-Z	200	added ('OK')	text/html	etag:%22927961b83f634cde459587de15e74309-ssl-df%22	https://appstack.bootlab.io/dashboard-default.html?sidebarBehavior=compact	C:/My%20Web%20Sites/Final%20Project/Full%20package/appstack.bootlab.io/dashboard-defaultc765.html	(from https://appstack.bootlab.io/)
